original_sponsor,clustered_sponsor
Red Rose Inn,Red Rose Inn
Longchamps,Longchamps
Savoy Grill,Savoy Grill
Leighton's Woodlands Lake Restaurant,Leighton's Woodlands Lake Restaurant
The Hotel Beach Plaza,The Hotel Beach Plaza
Lou Marques,Lou Marques
Dobbs House,Dobbs House
Hotel Schlicker Bochum,Hotel Schlicker Bochum
Grand Ballroom,Grand Ballroom
Mike's Ship A Hoy,Mike's Ship A Hoy
Honiss Oyster House Co.,Honiss Oyster House Co.
Charlie's CafÃ© Exceptionale,Charlie's Cafã© Exceptionale
Klein's,Klein's
Cheaspeake House,Cheaspeake House
Monomonock Inn,Monomonock Inn
Hotel Lafayette,Hotel Lafayette
Robert Treat Hotel,Robert Treat Hotel
'''Paris''''''','''paris'''''''
'S.S. ''Republic''''''','s.S. ''republic'''''''
Hotel Cecil,Hotel Cecil
The Grand Hotel Ltd.,The Grand Hotel Ltd.
The New Mills Hotel Restaurant and Lunch Counter,The New Mills Hotel Restaurant And Lunch Counter
Macy's,Macy's
The Syrian Restaurant for Ladies' & Gents,The Syrian Restaurant For Ladies' & Gents
Broadway Auditorium,Broadway Auditorium
The Copley-Plaza,The Copley-plaza
Hotel Griswold,Hotel Griswold
Hotel Schynige Platte und Hotel Bellevue,Hotel Schynige Platte Und Hotel Bellevue
MARIE ANTOINETTE HOTEL,Hotel Marie Antoinette
OCEAN STEAMSHOP CO.,Ocean Steamship Co.
REFORM CLUB,Reform Club
PROVIDENT BUILDING,Provident Building
NORTHERN PACIFIC RAILWAY DINING CARD SERVICE,Northern Pacific Railway
NEW ROCKINGHAM,New Rockingham
SOUTHERN PACIFIC COMPANY - DINING CAR SERVICE,Southern Pacific
VICTORIAN RESTAURANT,Victorian Restaurant
'POSSUM CLUB,'possum Club
NIPPON YUSEN KAISHA - S.S.ROSETTA MARU,Nippon Yusen Kaisha
UNITED TYPOTHETAE OF AMERICA,United Typothetae Of America
PENNSYLVANIA LIMITED,Pennsylvania Limited
